# 3-Day Feature Catalog — Aug 30 → Sep 1 2026
# Read-only catalog pass over agent-transcripts. 18 top-level chat sessions, chronological.
# Sources: per-session assistant transcripts + git log (d9d0509..c434ffe) + recovery audit (session c55f3593).
# Legend: commits-only = reached a git commit | chat-only = claimed in chat but uncommitted/lost | partial = some parts landed, some lost/degraded | lost = wiped by later session.

## Session 48049e2c (2026-08-30 22:33 → 22:33)
- FEATURE: Cursor permissions Q&A | STATUS_HINT: chat-only | FILES: (none) | DETAIL: Answered how to stop Cursor change-permission prompts (Run Modes settings). Not a game feature; noise session.

## Session e8f4b233 (2026-08-30 21:01 → 23:33)
- FEATURE: Rift Clash — ranked team FFA mode | STATUS_HINT: partial | FILES: autoload/rift_clash_manager.gd, autoload/rank_service.gd, autoload/steam_service.gd, autoload/network_service.gd, scripts/main.gd, scripts/player.gd, scripts/projectile.gd, scenes/bootstrap/, scripts/hud.gd | DETAIL: 4-team corner FFA on shared map, per-team WaveDirectors, PvP projectiles, team elimination, win feed to RankService. Wave-stealing/team-pick partially deferred.
- FEATURE: RankService (Bronze→Immortal) | STATUS_HINT: partial | FILES: autoload/rank_service.gd, project.godot | DETAIL: SP stat + leaderboard + placement deltas (+25/+8/-2/-15) with offline JSON fallback user://rift_clash_rank.json. Wired but rank flow unverified end-to-end.
- FEATURE: Steam stats/leaderboard/RichPresence | STATUS_HINT: commits-only | FILES: autoload/steam_service.gd, steam_appid.txt | DETAIL: GodotSteam 4.21 stats SkillPoints/MatchesPlayed/Won, rift_clash_skill leaderboard, set_rift_clash_presence. Fixed steam_appid trailing newline.
- FEATURE: ability_cooldowns out-of-bounds fix | STATUS_HINT: commits-only | FILES: scripts/player.gd | DETAIL: _update_ability_slots clamps to cooldown array size (pre-existing crash when hero knew >4 abilities).
- FEATURE: restart_app two-instance RiftClash flags | STATUS_HINT: commits-only | FILES: tools/restart_app.ps1 | DETAIL: -RiftClashHost / -RiftClashJoin ip:port for LAN two-client test.

## Session 28aa64f5 (2026-08-30 21:11 → 23:52)
- FEATURE: 4x bigger grass meadow + crater | STATUS_HINT: commits-only | FILES: scripts/arena.gd | DETAIL: Biome 0 2400x1600 → 4800x3200 (scales obstacles/decals/camera/minimap). Cosmetic crater at center, seeded.
- FEATURE: Sealed crater (wave-10 unlock) | STATUS_HINT: lost | FILES: scripts/arena.gd, scripts/main.gd | DETAIL: Bramble-seal collision blocking crater until wave 10 with banner + RPC sync. Later reverted — crater made open from wave 1.
- FEATURE: Crater open from wave 1 + moved left + minimap icon | STATUS_HINT: commits-only | FILES: scripts/arena.gd, scripts/main.gd, scripts/minimap.gd | DETAIL: CRATER_CENTER (-1230,0), crater_unlocked default true, rock-formation minimap landmark.
- FEATURE: Redesigned 4 biome maps (volcano/ice/factory/docks) | STATUS_HINT: commits-only | FILES: scripts/arena.gd, tools/tobor_world_art.gd | DETAIL: Movement identities — caldera spoke-and-lake, meridian glacier bowties, reactor floor ring-corridor, working harbor piers. Plus clamp_walk_pads_to_playfield.
- FEATURE: Ambient biome animation | STATUS_HINT: commits-only | FILES: scripts/arena.gd | DETAIL: anim_clock + _draw_biome_animation: lava bubbles, frost gusts, factory sparks, dock foam — 4-beat pixel cadence on arena canvas.
- FEATURE: Rock-formation crater art | STATUS_HINT: commits-only | FILES: scripts/arena.gd, tools/tobor_world_art.gd | DETAIL: Meteor-Crater style squarish rim, 30 stacked limestone boulders, ejecta spray, breccia bowl; new crater_stone/crater_shard sprites.

## Session 2d0ed247 (2026-08-30 22:46 → 22:46)
- FEATURE: Hero sprite compare/score tooling | STATUS_HINT: commits-only | FILES: tools/cut_turnarounds.py, tools/compare_hero_sprites.py, tools/score_hero_sprites.py | DETAIL: Per-view turnaround crops + ref-vs-current-vs-diff-heatmap contact sheets + 0..1 shape/color scorer.
- FEATURE: Arclight/Bulwark/Warden sprite recreation | STATUS_HINT: partial | FILES: tools/sprite_art.gd, assets/sprites/ | DETAIL: Auto-trace turnaround crops to 40px, palette snapped, despeckled; warden .494/bulwark .478/arclight .33-.357 scores. Later churn (BOM, stale cache) left it partially degraded; superseded by robot-3 rollback request.

## Session 0204f74b (2026-08-30 23:53 → 23:53)
- FEATURE: Storm Court hero 4-facing sprites (volt/nebula/astral/rime) | STATUS_HINT: commits-only | FILES: tools/sprite_art.gd, assets/sprites/ | DETAIL: 16 HERO_PALETTES + 16 HERO_ROWS grids normalized to 40x40 via fixer; forge 587 sprites, UTF-8 re-encode fix.
- FEATURE: 48 ability icons + 4 hero ability tones | STATUS_HINT: commits-only | FILES: tools/sprite_art.gd, assets/sprites/ | DETAIL: 48 ABILITY_ICON_ROWS + 48 palettes for volt/nebula/astral/rime x12 abilities + 4 HERO_ABILITY_TONES; SHAPE_* per-archetype mapping. Fixed "Hero nebula has no sprite" via full --import.

## Session 3bcc1695 (2026-08-31 00:01 → 00:01)
- FEATURE: (subagent recovery worker for BIG session — iron-foundry hero pools) | STATUS_HINT: commits-only | FILES: scripts/player_class.gd | DETAIL: Rebuilt Iron Foundry hero 12-ability pools + kit trio. Content folded into BIG session's roster work.

## Session dbb4a454 (2026-08-31 00:31 → 00:31)
- FEATURE: Boss danmaku onslaught sequencer | STATUS_HINT: commits-only | FILES: scripts/enemy.gd | DETAIL: _boss_strikes timeline schedules volleys (nova ring, aimed spiral, barrage fan, multi-target meteor slam, beam ring), phase-scaled density.
- FEATURE: Per-biome boss selection + 3 new bosses | STATUS_HINT: commits-only | FILES: scripts/enemy_type.gd, scripts/enemy.gd, tools/sprite_art.gd, tools/tobor_world_art.gd, tools/tobor_biome_enemies.gd | DETAIL: pyrelord/frostreaver/warhos with own stats/elements/sprites; boss_for_wave keyed off biome (volcano→Pyrelord, ice→Frostreaver, factory→Stormcaller, docks→Warhos).
- FEATURE: Boss solo waves + faster cadence + tracking dashes | STATUS_HINT: commits-only | FILES: scripts/enemy.gd | DETAIL: Boss waves emit exactly one boss 0 adds; per-phase cooldown cuts (~half in phase 3); dash direction lerps toward player ~6.5deg/frame; +55% move speed.

## Session ae9131c2 (2026-08-31 12:22 → 12:22)
